IndustryName,Numberoffirms,AnnualAverageRevenueGrowth_Last5y,PretaxOperatingMargin_Unadj,AftertaxROC,AverageEffectiveTaxRate,UnleveredBeta,LeveredBeta,CostofEquity,StdDev_StockPrice,Pretax_CostofDebt,MarketDebttoCapital,CostofCapital,SalestoCapital,EVtoSales,EVtoEBITDA,EVtoEBIT,PricetoBook,TrailingPE,Non-cashWC_PercofRev,CapEx_PercofRevenues,NetCapEx_ofRevenues,ReinvestmentRate,ROE,DividendPayoutRatio,EquityReinvestmentRate,PretaxOperatingMargin_Adj
Drugs (Biotechnology),598,0.27230,0.12019,0.06493,0.14251,1.19945,1.24174,0.11256,0.58414,0.05880,0.13285,0.10346,0.45886,6.18484,11.02926,40.68242,5.80097,113.80317,0.12997,0.03558,-0.00021,0.40999,0.00678,0.00057,0.00057,0.14262
Drugs (Pharmaceutical),281,0.42346,0.27387,0.19584,0.12152,1.18081,1.26801,0.11412,0.64884,0.05880,0.11984,0.10573,0.75387,4.85080,12.33675,17.37497,5.28223,17.76565,0.19449,0.04544,0.02733,0.23314,0.24540,0.51360,0.51360,0.26627
Education,33,0.04129,0.05276,0.06774,0.28829,0.99372,1.10083,0.10419,0.41813,0.05500,0.23436,0.08944,1.24009,1.84993,9.65022,30.35972,1.81381,18.21340,0.07958,0.03209,0.09240,3.56360,0.03190,0.17439,0.17439,0.05829
Electrical Equipment,110,0.13898,0.09967,0.18403,0.20104,1.43265,1.58967,0.13323,0.58555,0.05880,0.18379,0.11685,1.78418,2.76691,12.68778,22.71779,3.13114,50.35025,0.25547,0.05269,0.14997,2.79286,0.13203,0.34460,0.34460,0.10773
Electronics (Consumer & Office),16,-0.00473,0.01853,0.05464,0.10065,1.61306,1.53892,0.13021,0.39565,0.05500,0.14129,0.11764,2.22529,0.77629,10.43402,27.82776,1.86512,78.60622,0.13681,0.01371,0.02410,4.48298,0.01275,0.00000,0.00000,0.02539
Electronics (General),138,0.10635,0.09736,0.17475,0.18999,1.11616,1.20125,0.11015,0.44938,0.05500,0.15836,0.09924,1.82935,1.93762,11.91629,19.24957,3.06149,58.25217,0.22422,0.04529,0.13580,2.23413,0.12418,0.10609,0.10609,0.10171
Engineering/Construction,43,0.12138,0.04422,0.13835,0.22883,1.01762,1.19676,0.10989,0.35167,0.05500,0.24008,0.09341,3.39885,1.08308,13.16958,22.98728,2.81819,29.06259,0.20015,0.03117,0.07925,3.00783,0.07496,0.16886,0.16886,0.04694
Entertainment,110,0.28593,0.07512,0.11235,0.21095,1.24622,1.44980,0.12492,0.57810,0.05880,0.24970,0.10474,1.46458,3.05981,17.46219,39.95907,2.22493,47.73672,0.04192,0.04416,-0.00498,0.04050,0.01181,0.50421,0.50421,0.07928
Environmental & Waste Services,62,0.10134,0.12594,0.28322,0.22114,0.85911,1.01535,0.09911,0.48087,0.05500,0.20342,0.08734,2.33087,3.03464,14.02241,23.38843,5.29204,76.98731,0.10045,0.07914,0.09628,1.10078,0.16474,0.46259,0.46259,0.12847
Farming/Agriculture,39,0.17571,0.07622,0.15173,0.20034,0.93105,1.14031,0.10653,0.54427,0.05880,0.25299,0.09074,2.05178,1.22484,12.60893,15.58133,3.46913,22.12057,0.14829,0.02907,0.03336,1.46784,0.23648,0.21028,0.21028,0.07911
Financial Svcs. (Non-bank & Insurance),223,0.10440,0.15888,0.00654,0.20881,0.10617,0.88573,0.09141,0.27145,0.05500,0.90945,0.04579,0.04717,23.48679,91.88027,90.63054,1.68751,32.69630,,0.02534,0.03637,0.21848,0.48075,0.13649,0.13649,0.16181
Food Processing,92,0.25210,0.11769,0.18599,0.19896,0.76867,0.91752,0.09330,0.34229,0.05500,0.22395,0.08164,1.68598,2.09954,13.24274,17.40134,2.60652,52.47445,0.06762,0.03702,0.03713,0.57544,0.11539,0.53779,0.53779,0.11955
Food Wholesalers,14,0.09836,0.02102,0.15536,0.22254,0.84570,1.12371,0.10555,0.32418,0.05500,0.31580,0.08524,8.41164,0.41462,12.01591,19.70827,4.53602,25.13792,0.06343,0.00830,0.00903,1.29460,0.18984,0.43595,0.43595,0.02097
Furn/Home Furnishings,32,0.14448,0.07659,0.15237,0.32782,0.95191,1.27090,0.11429,0.41912,0.05500,0.35871,0.08809,2.19024,0.87936,6.28392,10.04613,1.82277,14.03013,0.15842,0.03801,0.03800,1.50652,0.05446,0.68020,0.68020,0.07956
Green & Renewable Energy,19,-0.14714,0.26096,0.04682,0.14044,0.87719,1.60070,0.13388,0.67598,0.07010,0.54775,0.08935,0.20539,7.78527,12.70123,31.28218,1.07899,34.62057,-0.61113,0.45957,0.26912,1.58397,0.18266,0.56848,0.56848,0.24441
Healthcare Products,254,0.19901,0.15015,0.15879,0.15498,1.09710,1.16238,0.10785,0.50940,0.05880,0.11192,0.10071,1.03391,5.15285,19.08998,32.02459,4.70122,62.95897,0.24492,0.04858,0.12594,1.29307,0.07092,0.46131,0.46131,0.15917
Healthcare Support Services,131,0.20157,0.04072,0.33786,0.22032,1.07255,1.16037,0.10773,0.47793,0.05500,0.19097,0.09503,9.02528,0.68873,12.16044,16.77625,3.60066,45.90801,-0.07140,0.00733,0.00802,0.30340,0.12337,0.33042,0.33042,0.04013
Heathcare Information and Technology,138,0.20452,0.16932,0.19104,0.15821,1.37074,1.47151,0.12621,0.53872,0.05880,0.12441,0.11599,1.13330,5.33253,19.36295,30.48594,4.32616,48.34114,0.22487,0.04914,0.14769,1.29680,-0.00288,0.00043,0.00043,0.17588
Homebuilding,32,0.15822,0.18763,0.28174,0.23125,1.33316,1.50221,0.12803,0.33330,0.05500,0.24435,0.10683,1.82396,0.85286,4.38906,4.53640,1.28634,5.08454,0.63255,0.00509,0.01360,0.69959,0.30748,0.05449,0.05449,0.18795
Hospitals/Healthcare Facilities,34,0.01597,0.11615,0.20453,0.24114,0.72308,1.17400,0.10854,0.51194,0.05880,0.46592,0.07851,1.94605,1.56904,8.70440,13.48219,5.32627,105.59443,0.10446,0.06033,0.03632,0.63442,0.49038,0.13557,0.13557,0.11621
Hotel/Gaming,69,0.07584,0.07249,0.02339,0.23845,1.06096,1.45998,0.12552,0.38051,0.05500,0.39968,0.09184,0.64787,4.20490,15.18762,82.57716,6.77313,17.54686,0.07509,0.08079,0.04549,2.55826,0.02532,0.49425,0.49425,0.03954
Household Products,127,0.11551,0.16991,0.34916,0.20160,1.05788,1.15500,0.10741,0.56828,0.05880,0.13438,0.09890,2.18545,3.64642,16.84734,21.18720,9.16733,124.19394,0.08557,0.03728,0.02153,0.30087,0.33179,0.63695,0.63695,0.17128
Information Services,73,0.11055,0.24023,0.32886,0.19105,1.33344,1.40471,0.12224,0.45109,0.05500,0.11550,0.11289,1.51419,6.25656,18.38254,24.56415,5.97296,60.49602,0.03066,0.02976,0.02545,0.21794,0.17742,0.28073,0.28073,0.24733
Insurance (General),21,0.06901,0.21822,0.19307,0.20379,1.02694,1.22776,0.11173,0.43761,0.05500,0.23365,0.09526,0.98415,2.16011,7.43428,9.80733,2.59326,213.16753,0.02414,0.00915,0.00957,0.67908,0.17430,0.16850,0.16850,0.21861
Insurance (Life),27,0.08287,0.08341,0.04828,0.14549,0.66746,0.93935,0.09460,0.28891,0.05500,0.48026,0.06898,0.64951,1.32521,10.66671,12.24774,1.72977,16.58945,0.16252,0.00153,0.00231,0.00679,0.05579,0.38242,0.38242,0.08391
Insurance (Prop/Cas.),51,0.03818,0.06410,0.07076,0.19872,0.72954,0.80330,0.08652,0.27667,0.05500,0.17672,0.07852,1.22359,1.39184,14.61512,21.01633,2.19914,20.23097,-0.51115,0.00940,0.00578,0.48909,0.05710,0.73319,0.73319,0.06492
Investments & Asset Management,600,0.10789,0.18363,0.09162,0.18201,0.53775,0.62361,0.07584,0.09906,0.04730,0.27718,0.06465,0.52461,5.16496,18.34207,22.44314,2.12849,413.13881,,0.02839,0.07448,0.59864,0.17166,0.42686,0.42686,0.18192
Machinery,116,0.08505,0.13797,0.27441,0.20985,1.09383,1.22482,0.11155,0.32362,0.05500,0.17248,0.09943,2.16085,2.66837,14.08308,18.88917,4.05739,43.77319,0.25955,0.02492,0.10793,1.40236,0.15486,0.36707,0.36707,0.14151
Metals & Mining,68,0.05883,0.22891,0.34725,0.38407,1.21919,1.29005,0.11543,0.70056,0.07010,0.17726,0.10429,1.58480,2.06019,6.57940,8.85439,2.75339,17.59789,0.12051,0.08493,0.02339,0.30254,0.21098,0.62501,0.62501,0.22859
Office Equipment & Services,16,0.15792,0.05944,0.12191,0.24229,0.84484,1.17709,0.10872,0.35221,0.05500,0.40048,0.08170,2.38042,0.93289,8.44876,14.90617,2.02246,23.35295,0.10580,0.02399,0.05735,2.07506,0.07960,0.82958,0.82958,0.06343
Oil/Gas (Integrated),4,0.12123,0.17323,0.22371,0.23129,0.94627,0.97749,0.09686,0.30549,0.05500,0.10317,0.09113,1.49559,1.39380,5.73208,7.98169,2.25033,6.71232,0.03161,0.04806,-0.01236,-0.10405,0.32416,0.26357,0.26357,0.17442
Oil/Gas (Production and Exploration),174,0.29566,0.35545,0.39824,0.20955,1.13613,1.25743,0.11349,0.56977,0.05880,0.16724,0.10189,1.17004,2.11919,4.27625,5.86930,2.43105,20.68494,-0.03604,0.18857,0.10786,0.44233,0.47000,0.23147,0.23147,0.35679
Oil/Gas Distribution,23,0.21857,0.10555,0.07175,0.16732,0.65649,0.99126,0.09768,0.33549,0.05500,0.41661,0.07417,0.71204,2.59927,11.36460,19.40704,2.71643,17.52691,0.03524,0.07999,0.04818,0.67111,0.04093,3.14968,3.14968,0.10824
Oilfield Svcs/Equip.,101,0.07721,0.07262,0.28089,0.21083,1.18694,1.37516,0.12048,0.46898,0.05500,0.24588,0.10100,4.09857,0.57636,5.89890,7.78335,2.06686,35.47003,0.05245,0.01895,0.00286,0.23847,0.30821,0.17578,0.17578,0.07375
Packaging & Container,25,0.05902,0.09433,0.16040,0.20377,0.67050,0.95242,0.09537,0.24431,0.04730,0.38259,0.07246,1.95178,1.24796,8.24180,12.95473,2.49642,13.23236,0.10398,0.05750,0.04429,0.86939,0.19746,0.28641,0.28641,0.09630
Paper/Forest Products,7,0.06995,0.18474,0.42833,0.25797,1.12584,1.38301,0.12095,0.42844,0.05500,0.30490,0.09665,2.64029,0.77446,3.43145,4.16009,2.84934,12.83113,0.07956,0.04841,0.03595,0.37226,0.46827,0.07884,0.07884,0.18594
Power,48,0.06413,0.15574,0.06042,0.13473,0.46403,0.72500,0.08187,0.17178,0.04730,0.43552,0.06166,0.43923,3.75304,12.97264,23.94822,1.98240,19.07432,0.06579,0.29222,0.18396,1.45691,0.09390,0.60557,0.60557,0.15683
Precious Metals,74,0.03739,0.10027,0.05282,0.44613,1.18721,1.23362,0.11208,0.72543,0.07010,0.14035,0.10373,0.51744,3.55315,10.88410,33.92461,1.67589,14.43236,0.10748,0.23692,0.06300,1.16483,0.03661,1.60363,1.60363,0.10498
Publishing & Newspapers,20,0.03318,0.07729,0.15253,0.15298,0.91416,1.11490,0.10502,0.30920,0.05500,0.29665,0.08611,2.14954,1.15851,8.39609,14.85883,1.57967,19.59896,0.09878,0.03453,0.06113,1.20374,0.05146,0.52373,0.52373,0.07845
R.E.I.T.,223,0.09572,0.25462,0.03292,0.04283,0.68556,1.06338,0.10196,0.21542,0.04730,0.43607,0.07297,0.14684,11.06238,19.88952,43.36150,1.92784,41.48255,1.18028,0.03061,-0.06958,-0.30903,0.08853,1.07798,1.07798,0.23203
Real Estate (Development),18,0.10162,0.18643,0.06125,0.22963,0.88380,1.51669,0.12889,0.51251,0.05880,0.52954,0.08399,0.37534,2.80746,10.53963,15.45849,0.94228,10.72444,0.06898,0.01666,-0.04236,-0.52567,0.10514,0.00000,0.00000,0.17483
Real Estate (General/Diversified),12,0.08742,0.18574,0.06512,0.22877,0.66494,0.78980,0.08571,0.28662,0.05500,0.28479,0.07305,0.38625,4.01564,14.89079,21.39097,0.96601,17.52687,2.04592,0.01810,-0.00034,0.66778,0.06681,0.33200,0.33200,0.18604
Real Estate (Operations & Services),60,0.16004,0.01169,0.01076,0.20229,0.80502,1.34548,0.11872,0.44434,0.05500,0.52212,0.07827,1.56892,0.99731,8.79715,159.94212,1.64651,39.80018,0.15138,0.01195,-0.00097,,-0.03577,0.00335,0.00335,0.00713
Recreation,57,0.07789,0.09187,0.12255,0.20046,1.07549,1.41798,0.12303,0.42131,0.05500,0.34237,0.09503,1.58599,1.76625,9.66228,20.26157,3.24399,18.79715,0.18853,0.06317,0.08463,2.42540,0.03952,1.36338,1.36338,0.08516
Reinsurance,1,0.05630,0.04648,0.05253,0.06483,0.83161,0.82925,0.08806,0.19368,0.04730,0.31081,0.07171,1.21020,0.63216,12.07525,13.62069,2.53719,16.51600,-0.17935,0.00142,-0.00359,0.05915,0.04463,0.34957,0.34957,0.04641
Restaurant/Dining,70,0.06277,0.15420,0.18385,0.21303,1.16600,1.41040,0.12258,0.41147,0.05500,0.23533,0.10344,1.57019,4.06654,16.78968,31.70945,,32.06031,0.01692,0.05511,0.04120,0.45042,,0.61859,0.61859,0.12802
Retail (Automotive),30,0.17119,0.06193,0.15602,0.23559,1.08273,1.52019,0.12910,0.35711,0.05500,0.36503,0.09703,3.23131,0.90561,9.75103,15.10726,6.06522,10.00165,0.08139,0.01778,0.05126,1.33906,0.43254,0.06701,0.06701,0.05736
Retail (Building Supply),15,0.13023,0.13850,0.50285,0.24916,1.56704,1.78917,0.14508,0.37546,0.05500,0.17501,0.12691,4.20382,1.95635,11.46913,14.16103,,14.30793,0.10000,0.02244,0.00631,0.41727,0.00477,0.41155,0.41155,0.13811
Retail (Distributors),69,0.07327,0.11662,0.21343,0.23457,1.00607,1.27525,0.11455,0.37083,0.05500,0.28350,0.09377,2.07293,1.44914,9.43370,11.18970,3.35470,27.13928,0.17141,0.06065,0.07949,1.32603,0.27374,0.21646,0.21646,0.11914
Retail (General),15,0.04318,0.04349,0.17887,0.25407,1.22010,1.36321,0.11977,0.31528,0.05500,0.16646,0.10670,5.51175,0.81313,11.89559,19.72898,5.44720,18.55053,0.02617,0.02846,0.01264,0.98470,0.18290,0.40598,0.40598,0.04122
Retail (Grocery and Food),13,0.04961,0.03323,0.12766,0.22297,0.47317,0.66757,0.07845,0.28265,0.05500,0.39693,0.06369,5.23448,0.37472,5.89476,12.82038,2.74613,16.75210,-0.00582,0.02164,0.00233,0.42411,0.27975,0.19815,0.19815,0.02919
Retail (Online),63,0.20713,0.02303,0.05094,0.00440,1.35599,1.48713,0.12714,0.59410,0.05880,0.16089,0.11378,1.34276,1.86623,16.07094,98.64074,6.16198,205.21167,-0.00428,0.11699,0.08252,7.09417,0.02542,0.13919,0.13919,0.03869
Retail (Special Lines),78,0.13323,0.05427,0.15716,0.20574,1.18788,1.47521,0.12643,0.38586,0.05500,0.28139,0.10246,3.22110,0.96746,8.39990,16.58866,4.41824,19.96836,0.07808,0.02539,0.01601,0.88987,0.24165,0.32402,0.32402,0.05741
Rubber& Tires,3,0.12423,0.05548,0.09617,0.00000,0.26767,0.83801,0.08858,0.39786,0.05500,0.76762,0.05225,1.59148,0.54995,4.81127,9.42231,0.54937,7.08608,0.13332,0.05290,0.00856,1.05010,0.19810,0.00000,0.00000,0.06043
Semiconductor,68,0.08880,0.25439,0.18517,0.10213,1.53427,1.60775,0.13430,0.38404,0.05500,0.10125,0.12488,0.72201,4.97580,12.65504,19.33695,3.79325,29.65729,0.20332,0.16832,0.09421,0.68562,0.22766,0.32844,0.32844,0.27728
Semiconductor Equip,30,0.15697,0.27300,0.38166,0.13504,1.68925,1.75714,0.14317,0.41569,0.05500,0.10544,0.13243,1.51088,3.66413,11.77724,13.34229,6.39778,20.06884,0.34287,0.04492,0.15242,1.05898,0.46516,0.14247,0.14247,0.28262
Shipbuilding & Marine,8,0.15537,0.25504,0.28791,0.15555,0.78033,0.94374,0.09486,0.41161,0.05500,0.28067,0.07981,1.16613,1.07267,3.28154,4.06387,1.06088,10.01550,0.09396,0.05180,0.00151,0.00598,0.35290,0.12371,0.12371,0.26331
Shoe,13,0.11900,0.12855,0.33424,0.14206,1.28867,1.32769,0.11766,0.39374,0.05500,0.08269,0.11135,2.91427,3.21973,20.22867,25.05223,9.04419,13.49416,0.24979,0.00846,0.02240,0.48818,0.36283,0.26914,0.26914,0.12842
Software (Entertainment),91,0.30380,0.25914,0.21872,0.15917,1.35788,1.36358,0.11980,0.58710,0.05880,0.04582,0.11633,0.78140,3.59229,10.65409,13.78634,3.79563,105.43298,0.06682,0.13449,0.14039,0.67180,0.22766,0.00066,0.00066,0.28970
Software (Internet),33,0.25943,-0.05853,-0.01025,0.19106,1.41651,1.55131,0.13095,0.55244,0.05880,0.15006,0.11792,0.66507,6.33261,14.83587,,5.20935,28.69825,0.11330,0.06478,0.11033,,-0.15731,0.00000,0.00000,-0.01671
Software (System & Application),390,0.20101,0.21807,0.22471,0.17780,1.41297,1.46977,0.12610,0.52111,0.05880,0.08563,0.11908,0.95921,7.58755,21.32787,31.83283,8.38781,103.73574,0.13027,0.08172,0.21305,1.37639,0.19683,0.34011,0.34011,0.24170
Steel,28,0.15209,0.19837,0.48632,0.20626,1.21255,1.34248,0.11854,0.38299,0.05500,0.22237,0.10136,2.87485,0.67633,2.96047,3.39036,1.50776,12.79529,0.19440,0.04053,0.05130,0.48703,0.53748,0.05247,0.05247,0.19891
Telecom (Wireless),16,0.18498,0.14046,0.06152,0.04745,0.71136,1.03097,0.10004,0.51921,0.05880,0.39451,0.07797,0.52146,3.17696,8.74089,25.66249,2.18793,30.24622,0.06144,0.17162,0.01040,0.62187,0.02971,0.06277,0.06277,0.12271
Telecom. Equipment,79,0.03512,0.18341,0.25987,0.18447,1.17849,1.23312,0.11205,0.41349,0.05500,0.10457,0.10464,1.41794,3.56144,14.69936,19.00054,5.20133,36.72725,0.23108,0.02460,0.03515,0.49937,0.20129,0.51065,0.51065,0.19083
Telecom. Services,49,0.16813,0.19983,0.12377,0.22105,0.47391,0.88227,0.09121,0.55372,0.05880,0.54069,0.06574,0.66173,2.17522,5.98435,10.87767,1.28730,145.85411,0.00367,0.15171,0.05762,0.36160,0.15758,0.51909,0.51909,0.20007
Tobacco,15,0.05765,0.43765,0.70880,0.25215,1.74425,2.00046,0.15763,0.44059,0.05500,0.19391,0.13506,1.78369,5.04651,10.76139,11.46767,,13.55073,0.11366,0.02293,0.02111,0.07891,,1.07173,1.07173,0.44061
Transportation,18,0.14992,0.09352,0.24195,0.22167,0.92459,1.05827,0.10166,0.28046,0.05500,0.22786,0.08790,3.08578,1.08254,7.65371,11.54419,4.25247,23.85197,0.07219,0.04730,0.02339,0.50480,0.36782,0.33449,0.33449,0.09377
Transportation (Railroads),4,0.03783,0.40063,0.16938,0.22288,0.93238,1.10783,0.10461,0.16341,0.04730,0.21539,0.08972,0.50934,6.32361,12.47663,15.86528,6.75323,17.86158,0.01324,0.14797,0.05581,0.18857,0.33555,0.35879,0.35879,0.39858
Trucking,35,0.14160,0.08929,0.13529,0.24437,1.23286,1.54512,0.13058,0.41171,0.05500,0.30514,0.10332,1.66098,1.45134,6.33837,11.63619,3.52615,10.28092,0.05442,0.12294,0.11041,1.92666,0.04054,0.35596,0.35596,0.09502
Utility (General),15,0.04047,0.18191,0.05820,0.16650,0.40946,0.63514,0.07653,0.14971,0.04730,0.42586,0.05904,0.37230,4.28340,13.74526,23.76231,1.91800,20.52937,0.08923,0.32904,0.19972,1.50348,0.11241,0.59281,0.59281,0.18014
Utility (Water),16,0.14352,0.29511,0.06907,0.18061,0.87252,1.15242,0.10725,0.27961,0.05500,0.30263,0.08728,0.25686,9.18294,20.00298,31.13946,3.08720,35.13145,0.11822,0.50557,0.40921,1.78689,0.16475,0.45389,0.34685,0.29370
