Industry Name,Number of firms,Annual Average Revenue growth - Last 5 years,Pre-tax Operating Margin (Unadjusted),After-tax ROC,Average effective tax rate,Unlevered Beta,Equity (Levered) Beta,Cost of equity,Std deviation in stock prices,Pre-tax cost of debt,Market Debt/Capital,Cost of capital,Sales/Capital,EV/Sales,EV/EBITDA,EV/EBIT,Price/Book,Trailing PE,Non-cash WC as % of Revenues,Cap Ex as % of Revenues,Net Cap Ex as % of Revenues,Reinvestment Rate,ROE,Dividend Payout Ratio,Equity Reinvestment Rate,Pre-tax Operating Margin (Lease & R&D adjusted)
Computer Services,1105,0.093645664,0.073176267,0.202529324,0.230355113,1.037427131,1.088247192,0.125642126,0.337863736,0.0695,0.140498299,0.115345318,3.281874148,1.30956757,12.70671902,17.22748475,3.578599453,49.67681696,0.16516267,0.01348917,0.009891543,0.656601533,0.138149206,0.521947354,0.521947354,0.074067576
Computers/Peripherals,333,0.04330488,0.13717097,0.207203169,0.187041793,1.220004141,1.262005194,0.139508014,0.329244693,0.0695,0.105922132,0.130276513,1.735650387,2.005613777,11.19944802,14.50983571,5.202182204,34.1591408,0.032155484,0.043997629,0.032027335,0.484204796,0.279403767,0.22650678,0.22650678,0.138690193
Construction Supplies,790,0.089888342,0.079238137,0.07145774,0.220866366,0.937273996,1.116857955,0.127925265,0.30150512,0.0695,0.311332325,0.104397596,1.067162722,1.358715469,10.00960629,16.06697146,1.416933143,42.49900867,0.180436391,0.058090138,0.03862361,1.075371173,0.08092246,0.514460264,0.514460264,0.078728014
Diversified,314,0.098170408,0.093403961,0.062952807,0.171519335,0.734708745,0.963925255,0.115721235,0.273493734,0.0695,0.358581989,0.092999012,0.784064146,1.88295301,13.1556868,19.33033883,1.213505545,19.4268431,-0.11650945,0.042463044,0.007631233,0.495800748,0.058112853,0.398401402,0.398401402,0.092864484
Drugs (Biotechnology),1267,0.26030372,0.082283348,0.046526913,0.147958736,1.252653285,1.268267613,0.140007756,0.516941946,0.0733,0.113957245,0.130345222,0.459832616,6.558814651,12.96636517,61.86420435,5.076921463,126.6109735,0.18476756,0.055489501,0.028951511,1.880655949,-0.010637066,0.002231815,0.002231815,0.10318711
Drugs (Pharmaceutical),1352,0.171391705,0.214972486,0.139571283,0.140630756,0.995463543,1.063586953,0.123674239,0.442817208,0.0695,0.131529165,0.114293593,0.714877673,3.980270925,12.690853,17.54056349,3.803878699,128.8768863,0.148973383,0.046616068,0.020118063,0.221188006,0.161223844,0.504058395,0.504058395,0.216933808
Education,251,0.072462667,0.08523241,0.062603192,0.202424985,0.79172171,0.878767259,0.108925627,0.341175552,0.0695,0.2474175,0.094928903,0.851414974,2.369614695,10.00146452,21.79913089,1.855534429,179.0535768,0.007382868,0.072712302,0.094070087,1.947534991,0.036797767,0.718262455,0.718262455,0.084808026
Electrical Equipment,1045,0.121768795,0.066581916,0.096069629,0.181138023,1.10232369,1.136018685,0.129454291,0.372451081,0.0695,0.143017415,0.118427657,1.587962515,2.027701783,16.76728275,27.67507235,2.833909558,40.84984806,0.224527632,0.067817034,0.065012001,2.055021394,0.090067755,0.443541438,0.443541438,0.068354826
Electronics (Consumer & Office),134,0.028733333,0.051856753,0.060197219,0.219756196,1.095508821,1.272516006,0.140346777,0.346325311,0.0695,0.307150947,0.11331982,1.288634555,0.803683224,7.497978347,14.97039337,1.298310878,52.42531022,0.055377332,0.051123633,0.035786919,1.657273138,0.078509104,0.30310693,0.30310693,0.053236915
Electronics (General),1457,0.074407672,0.06971904,0.087206934,0.191100848,1.290512415,1.295523816,0.142182801,0.33176266,0.0695,0.163421247,0.127502923,1.438431599,1.377603387,11.27396574,18.870402,2.125067054,84.52801117,0.200744992,0.061756662,0.049651604,1.611553979,0.095623518,0.393134395,0.393134395,0.069325466
Engineering/Construction,1269,0.078894371,0.04827195,0.073014666,0.224693024,0.730137452,1.029566716,0.120959424,0.32279386,0.0695,0.510384704,0.085944444,1.79804463,0.597162465,8.560221878,11.84183342,0.924384886,30.79985074,0.159566638,0.031913553,0.025650646,1.733070713,0.091449191,0.591315162,0.591315162,0.04830681
Entertainment,752,0.105926815,0.07987035,0.096512626,0.228793506,1.101640081,1.201348679,0.134667625,0.426737456,0.0695,0.208842768,0.117477092,1.275976891,2.899044363,16.7342552,33.75328949,2.242018447,214.5230745,0.041236187,0.037769344,0.018753776,0.507224938,0.053343813,0.369132574,0.369132574,0.082532591
Environmental & Waste Services,370,0.083761952,0.106797717,0.106180911,0.218534162,0.896405262,1.088086729,0.125629321,0.382367077,0.0695,0.272260726,0.105679424,1.13020691,2.639850912,13.45244312,23.23487841,2.842838527,42.62499718,0.132767988,0.084562068,0.087744854,1.651497942,0.091371725,0.558493044,0.558493044,0.10762691
Farming/Agriculture,426,0.12735596,0.074276728,0.102765359,0.206307781,0.659688783,0.841916895,0.105984968,0.341586217,0.0695,0.317148254,0.088976111,1.566498849,1.136332657,10.53188344,14.62941401,2.150449334,41.53747751,0.163524301,0.042599519,0.034527729,1.304453768,0.143625501,0.320070156,0.320070156,0.075083908
Financial Svcs. (Non-bank & Insurance),1089,0.104697216,0.106516538,0.005932745,0.217003785,0.155399013,0.881793676,0.109167135,0.331236878,0.0695,0.871932638,0.059630214,0.064711238,16.53509733,63.30497036,74.38331474,1.238009821,153.1569429,,0.044503389,0.041852133,0.492788633,0.142092853,0.228642981,0.228642981,0.108241505
Food Processing,1397,0.097076004,0.083213972,0.117875768,0.204888684,0.691808046,0.796038093,0.10232384,0.291708879,0.0695,0.224765288,0.091092433,1.666026768,1.55428048,13.04285848,18.2880131,2.499066784,45.07197667,0.108116313,0.045122297,0.033295073,0.794107829,0.116364523,0.515597015,0.515597015,0.083445315
Food Wholesalers,169,0.062875455,0.025794363,0.114889383,0.232042632,0.484706141,0.68839748,0.093734119,0.314581866,0.0695,0.404672755,0.076988854,5.369586206,0.443902873,10.93326475,17.07657314,2.161605332,45.47922084,0.057725077,0.011896848,0.005754462,0.850725347,0.131337595,0.410046729,0.410046729,0.025686424
Furn/Home Furnishings,362,0.090344183,0.075874881,0.146412795,0.194164818,1.088423149,1.082105408,0.125152012,0.301259282,0.0695,0.204298409,0.110279565,2.281813076,1.021267827,9.567276668,12.90366305,2.202709437,53.5076884,0.073387735,0.032153881,0.019103425,0.803717355,0.135340444,0.526383824,0.526383824,0.075655725
Green & Renewable Energy,248,0.157482047,0.328901307,0.06735338,0.161942456,0.73909035,1.033642307,0.121284656,0.369748725,0.0695,0.383911473,0.094821521,0.229378079,7.524653979,14.03001171,22.59081318,1.923220098,47.36977919,0.113048627,0.385725296,0.248465256,1.171130428,0.192827145,0.35813488,0.35813488,0.32759318
Healthcare Products,896,0.151526498,0.150969711,0.135227673,0.183043402,1.077535978,1.130501165,0.129013993,0.431614964,0.0695,0.116191622,0.120106785,0.950570287,4.401980925,17.54319684,27.46565096,3.604596764,55.29930642,0.243510644,0.056535573,0.103266546,1.108246383,0.078992341,0.478921344,0.478921344,0.15422911
Healthcare Support Services,460,0.146611279,0.042303371,0.242861077,0.22635669,0.920550044,1.013136372,0.119648282,0.382412716,0.0695,0.214806321,0.10519312,6.779006369,0.685872902,11.67072584,15.9750372,2.827594064,41.59070571,-0.034790745,0.011193,0.011477318,0.466847602,0.108862376,0.375396247,0.375396247,0.041825761
Heathcare Information and Technology,447,0.20462864,0.160068199,0.163566395,0.169720135,1.273611718,1.337779776,0.145554826,0.450814771,0.0695,0.106606544,0.135619045,1.068227732,5.501359472,20.99270478,33.02276112,4.358930717,52.05237626,0.228811009,0.073463698,0.148797514,1.441002153,0.035050017,0.35753705,0.35753705,0.165533675
Homebuilding,171,0.075865362,0.154957198,0.175765616,0.235374882,0.974895545,1.139779447,0.1297544,0.285097021,0.0695,0.315328374,0.105347968,1.458885787,0.85443295,5.032470832,5.629197244,1.114015246,26.85035533,0.616618668,0.006977928,0.011182493,0.749460023,0.194312226,0.160513,0.160513,0.149654023
Hospitals/Healthcare Facilities,231,0.090183987,0.111445921,0.116351497,0.2145719,0.570710533,0.767940232,0.10008163,0.31837828,0.0695,0.339830047,0.083862467,1.24242633,2.312073689,13.54146808,20.52622097,3.747968761,51.88238462,0.064021195,0.065563768,0.031508811,0.567080322,0.156508073,0.317722564,0.317722564,0.110849218
Hotel/Gaming,650,-0.014698386,0.057973344,0.021470742,0.232390395,0.745237409,0.970586397,0.116252795,0.349913079,0.0695,0.360560085,0.093213566,0.563184853,3.892095907,16.45504647,74.00752913,3.135647983,71.88670834,0.007446196,0.074369482,0.016421567,1.14797927,0.022693215,0.762051898,0.762051898,0.041681344
Household Products,589,0.068795196,0.148895395,0.228927051,0.216531016,0.959250722,1.024074018,0.120521107,0.378919801,0.0695,0.122885986,0.112144367,1.748546761,3.353005078,17.79118799,22.186522,5.242697635,74.72639865,0.065154199,0.034365606,0.026033478,0.354173151,0.193918156,0.599825179,0.599825179,0.148416248
Information Services,242,0.109932214,0.207987202,0.286749502,0.198230946,1.341638573,1.410720226,0.151375474,0.407656398,0.0695,0.123081247,0.139187831,1.581247581,5.475478443,18.24986278,24.82607377,5.258790304,54.49701098,0.029592502,0.031231663,0.025610686,0.365203381,0.144563739,0.306068579,0.306068579,0.214363074
Insurance (General),206,0.063152899,0.104068302,0.111017171,0.205974128,0.609290698,0.690666815,0.093915212,0.252721662,0.0695,0.291882786,0.081784312,1.249656264,1.188008263,8.902201507,11.07931942,1.752157445,38.50813204,0.045398911,0.008617396,0.006755568,0.400415118,0.110947242,0.391499401,0.391499401,0.104712978
Insurance (Life),142,0.104572883,0.056565097,0.039384735,0.157493858,0.796276201,0.903786502,0.110922163,0.239015058,0.0618,0.496176511,0.078984163,0.802017604,1.127176677,11.12924484,16.27141139,1.25787471,27.35939275,-1.060706881,0.006328164,0.012637846,0.244196523,0.070183179,0.459043028,0.459043028,0.056689337
Insurance (Prop/Cas.),235,0.064738636,0.063788599,0.067197915,0.194916253,0.690694218,0.745750479,0.098310888,0.266925294,0.0695,0.201813819,0.089036224,1.243998819,1.105685573,12.60642871,16.61956746,1.593327567,20.31627414,-0.414548636,0.006821025,0.002730554,0.344261038,0.067870938,0.549478098,0.549478098,0.064158675
Investments & Asset Management,1660,0.119607957,0.202414357,0.062599876,0.16368981,0.565197064,0.792183349,0.102016231,0.265503576,0.0695,0.432580159,0.080533487,0.329295232,4.638788774,12.5106314,15.16699628,1.429435008,237.9912396,,0.038934741,0.133823562,0.923768969,0.123117407,0.477296148,0.477296148,0.201710691
Machinery,1463,0.074357195,0.096838343,0.114410004,0.221904172,1.062950145,1.102140252,0.126750792,0.316228459,0.0695,0.147182702,0.115800923,1.416687413,1.974784195,13.99510729,19.532099,2.746769737,38.91396415,0.282689965,0.040581087,0.052782923,1.352900457,0.107901048,0.397240654,0.397240654,0.096250648
Metals & Mining,1783,0.149984454,0.164576761,0.24562183,0.269969662,1.109674282,1.198066194,0.134405682,0.616904111,0.0733,0.210093089,0.117768664,1.55419078,1.18592122,5.300524863,6.819439358,1.825132869,76.70173552,0.109643602,0.063028044,0.036642013,0.571327843,0.239547922,0.472188103,0.472188103,0.165212479
Office Equipment & Services,144,0.060780172,0.068751326,0.105251063,0.241081574,0.834494382,0.925241478,0.11263427,0.331059727,0.0695,0.251315539,0.097484989,1.824432597,0.990584555,8.527111892,13.29859632,1.784684481,38.12834129,0.129323123,0.023926108,0.028513177,1.093383155,0.057369127,0.634888905,0.634888905,0.069942584
Oil/Gas (Integrated),36,0.145678333,0.203352956,0.270040101,0.419911385,1.025737625,1.084261072,0.125324034,0.290654684,0.0695,0.162684707,0.113452982,1.785789583,1.1058384,4.344885486,5.428064564,2.00491515,9.000796473,0.031817707,0.057508157,0.010887407,0.254341573,0.273838926,0.373033443,0.373033443,0.203700033
Oil/Gas (Production and Exploration),616,0.302238838,0.393698668,0.313791626,0.285801787,1.171953251,1.30644458,0.143054277,0.576152625,0.0733,0.207681517,0.124812076,0.861217311,2.073172084,3.747210169,5.162435728,1.730060677,15.17643467,-0.03404808,0.191126841,0.104128784,0.39979109,0.3455461,0.239959873,0.239959873,0.394858546
Oil/Gas Distribution,166,0.164484492,0.104301187,0.067858428,0.155159301,0.640895646,0.959883316,0.115398689,0.316929194,0.0695,0.422661881,0.08875225,0.730092631,2.133024789,11.70001206,18.50027852,1.816437162,40.13651378,0.039146025,0.082378819,0.049080369,0.728076084,0.08474579,1.105935409,1.105935409,0.10528637
Oilfield Svcs/Equip.,455,0.072712421,0.06418335,0.148658272,0.22426512,0.918614413,1.145804706,0.130235216,0.386785549,0.0695,0.317805201,0.105484271,2.613156854,0.610138091,6.716267646,9.173729013,1.535769909,28.41064747,0.069270716,0.030825023,0.017349902,0.872497838,0.169538021,0.237944518,0.237944518,0.064755034
Packaging & Container,414,0.077229068,0.085726622,0.113132293,0.212615315,0.645423291,0.835766835,0.105494193,0.294498329,0.0695,0.328607061,0.088032066,1.563885839,1.224529765,8.806024192,14.00327225,1.940650938,125.2594412,0.133953568,0.061565858,0.044226654,0.99286044,0.129414446,0.391490241,0.391490241,0.086636758
Paper/Forest Products,268,0.090147204,0.135624331,0.108120758,0.203452723,0.752359681,0.993264515,0.118062508,0.311902744,0.0695,0.380389584,0.093067809,0.950575123,1.157064569,6.042835916,8.335186022,1.073548334,22.78722187,0.198274475,0.081713372,0.055442509,0.765470676,0.150753397,0.227065804,0.227065804,0.135227553
Power,485,0.136981964,0.008895202,0.005637951,0.193095024,0.443304647,0.7285185,0.096935776,0.259447712,0.0695,0.490185348,0.075082614,0.728964876,1.785231525,11.80271851,185.00973,1.457765693,35.26387209,-0.064300493,0.126344353,0.068802992,,0.025145559,2.356379148,2.356379148,0.009065088
Precious Metals,930,0.229461256,0.164696715,0.131312823,0.279270987,1.101131991,1.140845816,0.129839496,0.629125635,0.0733,0.15433126,0.118322895,0.827605276,2.239889065,6.968184641,12.57952761,1.593449743,627.2258029,0.114750123,0.1744908,0.110131307,1.017298714,0.078535028,0.736251718,0.736251718,0.165454299
Publishing & Newspapers,327,0.016786992,0.068047405,0.069816046,0.164125918,0.869039529,0.889133327,0.109752839,0.314402095,0.0695,0.229921108,0.096555715,1.221764945,1.160223297,9.646828088,16.15170137,1.321921075,33.16726757,0.110209021,0.032449888,0.025056726,0.614578011,0.029633954,0.896487005,0.896487005,0.066598009
R.E.I.T.,792,0.09401076,0.33803601,0.035771025,0.0448762,0.509169985,0.79260643,0.102049993,0.1885027,0.0618,0.439325743,0.077669148,0.114753563,11.5310422,20.23630724,31.55189822,1.391744101,29.01084416,0.889061447,0.051005427,0.025883461,0.09464086,0.092519075,0.700883928,0.700883928,0.321454345
Real Estate (Development),869,0.073651298,0.104902719,0.046488813,0.325374876,0.501254602,1.017652451,0.120008666,0.325561812,0.0695,0.669503908,0.074713837,0.528932705,1.531213121,10.21727896,12.51038229,0.47581441,93.42863689,1.880699353,0.022769633,0.017039267,0.162783813,0.045763967,1.075125743,1.075125743,0.104542753
Real Estate (General/Diversified),342,0.04986,0.147570791,0.030628604,0.266936574,0.529702758,0.934227766,0.113351376,0.268033476,0.0695,0.554997532,0.079498177,0.235693715,3.416031246,13.34646833,20.67866339,0.642684617,44.69039576,1.183274109,0.091111875,0.071706127,0.931342381,0.040329748,0.544981466,0.544981466,0.153809109
Real Estate (Operations & Services),730,0.099823313,0.144248459,0.032149555,0.226184732,0.552155354,0.901188068,0.110714808,0.299729737,0.0695,0.497104935,0.081703536,0.253414375,3.720335984,16.14889232,23.69469503,0.819749037,23.76040211,0.212323917,0.023909759,0.077174872,0.889992709,0.065265588,0.532115269,0.532115269,0.148164647
Recreation,323,0.051076739,0.100084983,0.08731459,0.232605716,0.985897623,1.109196096,0.127313848,0.33179399,0.0695,0.247022709,0.10879715,1.048635416,2.097427634,12.27471251,20.53073277,2.572525892,47.17578472,0.313893919,0.068500837,0.061053442,1.36403772,0.075242703,0.568478763,0.568478763,0.096808973
Reinsurance,34,0.031153929,0.01600769,0.022689181,0.179781592,1.089532317,1.159909658,0.131360791,0.283233034,0.0695,0.260150153,0.110807253,1.573369171,0.696197909,17.76628042,37.82912656,1.393159945,15.6438527,-0.526243837,0.000759245,0.016224945,2.894211893,0.019833468,1.151652124,1.151652124,0.015999326
Restaurant/Dining,382,-0.002821481,0.103717309,0.129836322,0.208212506,0.828925288,0.995320737,0.118226595,0.313609622,0.0695,0.246145119,0.102012463,1.624324861,2.868461692,16.54546772,30.62131429,14.38181782,55.54456171,-0.007744223,0.045756036,0.024723541,0.372804268,0.368507521,0.6213721,0.6213721,0.091942554
Retail (Automotive),193,0.088188806,0.050574674,0.123841344,0.236680245,0.718568933,0.983133952,0.117254089,0.304211638,0.0695,0.368861294,0.093315088,3.174007343,0.716728345,9.632044946,14.2488706,3.131419321,24.10470483,0.096236266,0.017901245,0.033179051,1.269679652,0.212670519,0.256565884,0.256565884,0.048343339
Retail (Building Supply),98,0.049730986,0.124564926,0.298432437,0.248588517,0.934377659,1.079222424,0.124921949,0.277923659,0.0695,0.193887017,0.110852034,3.010113682,1.733080306,11.18281204,13.98440368,16.94209898,20.80837589,0.102681861,0.023713589,0.00553796,0.415288505,0.62069171,0.405239335,0.405239335,0.123768777
Retail (Distributors),1006,0.073500152,0.054783057,0.089652887,0.22892357,0.5976016,0.828851939,0.104942385,0.326395001,0.0695,0.409061631,0.083430637,1.96160822,0.733834434,10.20291225,12.80865089,1.511295052,51.29819296,0.163391315,0.025127813,0.035509615,1.262069454,0.149047068,0.309747715,0.309747715,0.055210021
Retail (General),189,-0.028960848,0.047344064,0.116496913,0.25420588,0.734760657,0.890537056,0.109864857,0.272759679,0.0695,0.267315379,0.094491414,3.094463196,0.86456495,11.27812535,18.60676666,3.351242258,36.68035786,0.005120898,0.030384483,0.012404124,0.792419976,0.126675394,0.465699536,0.465699536,0.046113466
Retail (Grocery and Food),181,0.046530136,0.045257569,0.109306158,0.234389241,0.528545364,0.705402736,0.095091138,0.239525006,0.0618,0.366701308,0.077292484,3.12640145,0.648147233,9.039827811,14.28496887,2.304758741,35.3170189,-0.029975171,0.027134911,0.007842661,0.260209926,0.146928679,0.336806988,0.336806988,0.044358506
Retail (Online),342,0.165509806,0.001796703,0.019274103,0.0408406,1.490503407,1.592010272,0.16584242,0.463507363,0.0695,0.170383872,0.146505883,1.308212727,2.04335008,16.99833982,,4.242583801,90.30258828,-0.022871401,0.094952243,0.06433563,,-0.001291386,0.003849418,0.003849418,0.014596961
Retail (Special Lines),495,0.027746816,0.05641112,0.121085575,0.230394976,0.956178889,1.090125616,0.125792024,0.317911003,0.0695,0.237387483,0.10835884,2.517458578,1.105516815,10.56292757,18.29261383,3.366487402,29.90638398,0.083668948,0.022451029,0.006820814,0.622160784,0.120407823,0.525527361,0.525527361,0.058366703
Rubber& Tires,89,0.056328472,0.075061815,0.067278924,0.216978532,0.930064246,1.1594989,0.131328012,0.277347678,0.0695,0.338598431,0.104587654,1.093616656,0.974773681,7.111957993,12.76515315,1.112079134,60.49035251,0.245074147,0.062484383,0.022036302,1.257831195,0.06908005,0.452193318,0.452193318,0.073578562
Semiconductor,624,0.088133281,0.229589515,0.182152852,0.128336301,1.671599785,1.691542535,0.173785094,0.373449518,0.0695,0.104043709,0.161150989,0.834967709,3.754879617,10.5034317,15.99695109,3.261468298,74.13312032,0.166272215,0.188600603,0.122061706,0.876150238,0.220044639,0.325982022,0.325982022,0.241933998
Semiconductor Equip,342,0.104967368,0.243701327,0.26386468,0.164613214,1.982905201,1.962518445,0.195408972,0.332678715,0.0695,0.066204625,0.185938094,1.234312602,4.144186999,14.38669079,16.62226037,5.36788403,28.74436942,0.293098981,0.082518512,0.112194045,0.895770654,0.303218181,0.240456189,0.240456189,0.2489416
Shipbuilding & Marine,349,0.113461859,0.331920298,0.326993175,0.092904371,1.048607497,1.095060023,0.12618579,0.339134617,0.0695,0.333420936,0.101568842,1.119246556,1.004482411,2.575207936,2.937066987,0.90298361,17.54413904,0.03262992,0.068500068,0.037115616,0.104423363,0.522039774,0.313115416,0.313115416,0.333024259
Shoe,85,0.002777619,0.099408053,0.171563916,0.162960018,0.979181547,1.02053146,0.120238411,0.352542931,0.0695,0.110280601,0.112752116,2.017726323,2.422302956,17.71247276,23.47411168,5.256887384,44.47942818,0.234337783,0.018699871,0.013903215,0.557345446,0.210685255,0.307721565,0.307721565,0.099308561
Software (Entertainment),320,0.14282,0.22953464,0.159760867,0.156816745,1.464892161,1.480045192,0.156907606,0.477469353,0.0695,0.067282895,0.149872961,0.688477082,3.85110783,12.11819945,16.40223819,3.508347269,127.3905077,0.031636797,0.110855857,0.121813834,0.640045377,0.186636878,0.027321544,0.027321544,0.253564315
Software (Internet),152,0.272693253,-0.020102713,0.005512034,0.20940716,1.262848056,1.349405547,0.146482563,0.432430451,0.0695,0.142895412,0.133032073,0.870127263,4.18062945,15.88141959,,4.608321835,69.66940045,0.050142849,0.068994926,0.109111601,,-0.146404662,0.00415292,0.00415292,0.004618791
Software (System & Application),1648,0.16911828,0.177251697,0.173054641,0.18564556,1.317860521,1.354094876,0.146856771,0.445407493,0.0695,0.082079023,0.139100105,0.946478318,6.718013801,21.77481758,33.84668664,6.765091742,81.1701865,0.140419793,0.071717568,0.176983411,1.477266689,0.1341519,0.421679381,0.421679381,0.196884486
